ID,Date,Source,Type,Headline,Relevance Score,URL
ai_0,2025-09-29,rimixradio.com,TRIGGER_EVENT,"Capturan en Bello a cuatro integrantes de 'Los Chatas', incluyendo a su segundo cabecilla",0.900,https://rimixradio.com/capturan-en-bello-a-cuatro-integrantes-de-los-chatas-incluyendo-a-su-segundo-cabecilla/
ai_1,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Capturaron a cabecilla financiero del Clan del Golfo: junto a él detuvieron a supuesto jefe de sicarios de la organización",0.900,https://www.infobae.com/colombia/2025/05/02/capturaron-a-cabecilla-financiero-del-clan-del-golfo-junto-a-el-detuvieron-a-supuesto-jefe-de-sicarios-de-la-organizacion/
ai_2,2024-12-02,www.elcolombiano.com,CRIME_STAT,"La Oficina | Revelaciones del bajo mundo",0.900,https://www.elcolombiano.com/blogs/revelacionesdelbajomundo/crimen/la-oficina
ai_3,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Alias Douglas, líder de la Oficina de Envigado, fue reconocido como vocero de paz por el Gobierno Petro: esta es la razón",0.900,https://www.infobae.com/colombia/2025/04/13/alias-douglas-lider-de-la-oficina-de-envigado-fue-reconocido-como-vocero-de-paz-por-el-gobierno-petro-esta-es-la-razon/
ai_4,2024-12-02,www.elcolombiano.com,TRIGGER_EVENT,"A “Pichi Belén”, histórico cabecilla de La Oficina, lo detuvieron, pero luego lo soltaron en El Poblado",0.900,https://www.elcolombiano.com/medellin/pichi-belen-liberado-jefe-oficina-de-envigado-ON24384749
ai_5,2024-12-02,www.elpais.com.co,TRIGGER_EVENT,"Capturan en Antioquia a alias Beto, cabecilla de la Oficina de Envigado",0.900,https://www.elpais.com.co/judicial/capturan-en-antioquia-a-alias-beto-cabecilla-de-la-oficina-de-envigado.html
ai_6,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Duro golpe al Clan del Golfo: Ejército abatió a alias Rojo, cabecilla en Antioquia, que iba con uno de sus escoltas",0.900,https://www.infobae.com/colombia/2024/12/14/duro-golpe-al-clan-del-golfo-ejercito-abatio-a-alias-rojo-cabecilla-en-antioquia-que-iba-con-uno-de-sus-escoltas/
ai_7,2024-12-02,revistaraya.com,TRIGGER_EVENT,"Alias “Terror”: el jefe del Clan del Golfo que hizo campaña con el alcalde de Puerto Triunfo y ficha",0.900,https://revistaraya.com/quien-era-alias-terror-alcalde-de-puerto-triunfo-admite-encuentro-con-el-exjefe-del-clan-del-golfo-durante-su-campana.html
ai_8,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Capturaron a un jefe del Clan del Golfo en Antioquia cuando salía del entierro de su hermano, dado de baja por la Policía en el Meta",0.900,https://www.infobae.com/colombia/2024/09/09/policia-nacional-logro-la-captura-de-alias-arturo-uno-de-los-jefes-del-clan-del-golfo-que-delinquia-en-antioquia/
ai_9,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Golpe a Los Pachelly: 17 miembros fueron capturados por cobrar extorsiones en Antioquia",0.900,https://www.infobae.com/colombia/2024/07/13/golpe-a-los-pachelly-17-miembros-fueron-capturados-por-cobrar-extorsiones-en-antioquia/
ai_10,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Cayó ‘Carlitos’, el coordinador de Los Pachelly, al norte de Medellín: otro importante delincuente fue capturado en el oriente de la ciudad",0.900,https://www.infobae.com/colombia/2024/10/24/dos-importantes-fichas-de-bandas-criminales-en-medellin-fueron-capturadas-alias-carlitos-y-alias-chacolta/
ai_11,2024-12-02,www.elcolombiano.com,TRIGGER_EVENT,"Tres ciudades padecen la rebelión en “la Terraza”",0.900,https://www.elcolombiano.com/antioquia/seguridad/violencia-de-los-combos-en-medellin-la-terraza-tiene-disputas-internas-BH10061145
