ID,Date,Source,Type,Headline,Relevance Score,URL
ai_0,2025-01-01,metropolisfm.com.co,CRIME_STAT,"Los 12 'peces gordos' del crimen organizado de Medellín capturados en lo corrido de 2025; estos son sus prontuarios",0.950,https://metropolisfm.com.co/los-12-peces-gordos-del-crimen-organizado-de-medellin-capturados-en-lo-corrido-de-2025-estos-son-sus-prontuarios/
ai_1,2025-12-02,www.alertapaisa.com,TRIGGER_EVENT,"Capturado 'Care Vieja', cabecilla urbano de la subestructura Edwin Román del Clan del Golfo, en el occidente de Antioquia",0.900,https://www.alertapaisa.com/noticias/antioquia/capturado-care-vieja-cabecilla-urbano-de-la-subestructura-edwin-roman-del-clan-del-golfo-en-el-occidente-de-antioquia
ai_2,2025-12-02,www.elcolombiano.com,TRIGGER_EVENT,"Cayó alias Care Vieja, cabecilla del Clan del Golfo, responsable de ataques contra la Fuerza Pública en Antioquia",0.900,https://www.elcolombiano.com/antioquia/cayo-alias-care-vieja-cabecilla-clan-golfo-ataques-fuerza-publica-BC31444500
ai_3,2025-11-27,www.infobae.com,TRIGGER_EVENT,"Revelan conversación entre ‘Chiquito Malo’ y ‘Gonzalito’, máximos cabecillas del Clan del Golfo, cuestionando al Gobierno Petro: “Les duele más la muerte de un guerrillero”",0.900,https://www.infobae.com/colombia/2025/11/27/revelan-conversacion-entre-chiquito-malo-y-gonzalito-maximos-cabecillas-del-clan-del-golfo-cuestionando-al-gobierno-petro-les-duele-mas-la-muerte-de-un-guerrillero/
ai_4,2025-11-26,focusnoticias.com,TRIGGER_EVENT,"Fuerte golpe contra el Clan del Golfo: 10 capturados y poderoso arsenal incautado",0.900,https://focusnoticias.com/fuerte-golpe-contra-el-clan-del-golfo/
ai_5,2025-11-26,focusnoticias.com,TRIGGER_EVENT,"Fuerte golpe contra el Clan del Golfo: 10 capturados y poderoso arsenal incautado",0.900,https://focusnoticias.com/fuerte-golpe-contra-el-clan-del-golfo/
ai_6,2025-11-18,www.bluradio.com,CRIME_STAT,"Preocupante: Medellín superó los 300 homicidios en el 2025, 17 casos más que en 2024",0.900,https://www.bluradio.com/regiones/antioquia/preocupante-medellin-supero-los-300-homicidios-en-el-2025-17-casos-mas-que-en-2024-rg10
ai_7,2025-11-18,www.publimetro.co,TRIGGER_EVENT,"Asesinan a cabecilla de La Oficina de Envigado en un restaurante",0.900,https://www.publimetro.co/noticias/2025/11/18/asesinan-a-cabecilla-de-la-oficina-de-envigado-en-un-restaurante/
ai_8,2025-08-13,www.semana.com,TRIGGER_EVENT,"“Habría mandado a quemar vivo a un conductor que se negó a pagar extorsión”: graves señalamientos a presunto capo de una banda de Itagüí",0.900,https://www.semana.com/nacion/medellin/articulo/habria-mandado-a-quemar-vivo-a-un-conductor-que-se-nego-a-pagar-extorsion-graves-senalamientos-a-presunto-capo-de-una-banda-de-itagui/202501/
ai_9,2025-07-27,www.infobae.com,TRIGGER_EVENT,"Duro golpe al Clan del Golfo en Antioquia: siete personas fueron capturadas e incautan un arsenal de guerra",0.900,https://www.infobae.com/colombia/2025/07/27/duro-golpe-al-clan-del-golfo-en-antioquia-siete-personas-fueron-capturadas-e-incautan-un-arsenal-de-guerra/
ai_10,2025-07-26,www.infobae.com,TRIGGER_EVENT,"Cayó alias Mono, cabecilla del Clan del Golfo responsable del secuestro y tortura de dos militares en Tarazá, Antioquia",0.900,https://www.infobae.com/colombia/2025/07/26/cayo-alias-mono-cabecilla-del-clan-del-golfo-responsable-del-secuestro-y-tortura-de-dos-militares-en-taraza-antioquia/
ai_11,2025-07-20,www.infobae.com,TRIGGER_EVENT,"Imputan a ‘Matías’, poderoso cabecilla de Los Chatas: coordinaba extorsiones y secuestros en el Valle de Aburrá",0.900,https://www.infobae.com/colombia/2025/07/20/imputan-a-matias-poderoso-cabecilla-de-los-chatas-coordinaba-extorsiones-a-comerciantes-transportadores-y-constructoras-en-el-valle-de-aburra/
