ID,Date,Source,Type,Headline,Relevance Score,URL
ai_0,2025-03-03,analisisurbano.org,TRIGGER_EVENT,"[Video] Capturan en Medellín a alias Ñaño, presunto cabecilla de ‘Robledo’",0.900,https://analisisurbano.org/capturan-en-medellin-a-alias-nano-presunto-cabecilla-de-robledo/
ai_1,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Se entregó el hijo de ‘Douglas’, jefe de La Oficina que denunció presuntas reuniones secretas con Federico Gutiérrez cuando fue alcalde",0.900,https://www.infobae.com/colombia/2025/07/17/se-entrego-el-hijo-de-douglas-jefe-de-la-oficina-que-denuncio-presuntas-reuniones-secretas-con-federico-gutierrez-cuando-fue-alcalde/
ai_2,2024-12-02,www.medellin.gov.co,TRIGGER_EVENT,"Captura de cabecillas de Robledo y Caicedo",0.900,https://www.medellin.gov.co/es/sala-de-prensa/noticias/captura-de-cabecillas-de-robledo-y-caicedo/
ai_3,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Tres miembros del Clan del Golfo fueron abatidos tras intensos combates con el Ejército en Antioquia",0.900,https://www.infobae.com/colombia/2025/03/16/tres-miembros-del-clan-del-golfo-fueron-abatidos-tras-intensos-combates-con-el-ejercito-en-antioquia/
ai_4,2024-12-02,radioarandufm.com,TRIGGER_EVENT,"Abatidos tres miembros del Clan del Golfo en el noroeste de Colombia",0.900,https://radioarandufm.com/articulo/2025/03/abatidos-tres-miembros-del-clan-del-golfo-en-el-noroeste-de-colombia.php
ai_5,2024-12-02,telemedellin.tv,CRIME_STAT,"Medellín registra 1.200 homicidios en 2024, con aumento en comunas del nororiente",0.900,https://telemedellin.tv/capturados-integrantes-los-chatas/
ai_6,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Cayó alias Richard, cabecilla financiero de La Terraza, en Bello, Antioquia: le incautaron un libro con registros contables por más de $1.000 millones",0.900,https://www.infobae.com/colombia/2025/07/10/cayo-alias-richard-cabecilla-financiero-de-la-terraza-en-bello-antioquia-le-incautaron-un-libro-con-registros-contables-por-mas-de-1000-millones/
ai_7,2024-12-02,www.medellin.gov.co,TRIGGER_EVENT,"Golpe al grupo delincuencial ‘La Terraza’: 16 capturados y extinción de dominio de bienes por $1.200 millones",0.900,https://www.medellin.gov.co/es/sala-de-prensa/noticias/golpe-al-grupo-delincuencial-la-terraza-16-capturados-y-extincion-de-dominio-de-bienes-por-1-200-millones/
ai_8,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Capturaron en Medellín a dos cabecillas de los Triana: la peligrosa banda dedicada a la extorsión y el hurto",0.900,https://www.infobae.com/colombia/2024/06/24/autoridades-en-medellin-capturaron-a-dos-cabecillas-de-banda-dedicada-a-la-extorsion-y-hurto/
ai_9,2024-12-02,qhubomedellin.com,TRIGGER_EVENT,"EN IMÁGENES: Así pescaron a alias Nacho, presunto coordinador de los Triana en Medellín y en Bello",0.900,https://qhubomedellin.com/actualidad/local/orden-publico/captura-de-ignacio-garcia-alias-nacho-de-los-triana-OH27573937
ai_10,2024-12-02,www.wradio.com.co,TRIGGER_EVENT,"Medellín: Capturan a alias 'El Gordo', presunto cabecilla de la banda 'Los Pachelly'",0.900,https://www.wradio.com.co/2025/05/07/imponen-extincion-de-dominio-a-bienes-del-grupo-delincuencial-los-triana-de-medellin/
ai_11,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Alias Chirimoya, abatido cabecilla del Clan del Golfo, fue despedido en su pueblo natal con globos y disparos",0.900,https://www.infobae.com/colombia/2025/04/08/alias-chirimoya-abatido-cabecilla-del-clan-del-golfo-fue-despedido-en-su-pueblo-natal-con-globos-y-disparos/
ai_12,2024-12-02,www.noticiasrcn.com,TRIGGER_EVENT,"Fue abatido alias Turrón, cabecilla de la estructura criminal La Sierra",0.900,https://www.noticiasrcn.com/colombia/fue-abatido-alias-turron-cabecilla-de-la-estructura-criminal-la-sierra-342090
ai_13,2024-12-02,h13n.com,TRIGGER_EVENT,"Golpe al Clan del Golfo: en operativo fue abatido alias “Cedral” en el Suroeste antioqueño",0.900,https://h13n.com/golpe-al-clan-del-golfo-en-operativo-fue-abatido-alias-cedral-en-el-suroeste-antioqueno/
ai_14,2024-10-01,noticias.rcnradio.com,TRIGGER_EVENT,"Medellín: Capturan a alias 'El Negro', cabecilla de la banda 'Los Pachelly'",0.900,https://noticias.rcnradio.com/colombia/antioquia/capturan-al-coordinador-logistico-de-la-estructura-los-chatas-en-el-valle-de-aburra
ai_15,2025-06-16,www.llaveinformativa.com,TRIGGER_EVENT,"Se hacían llamar “los chatas” y estarían involucrados en un homicidio en Barbosa.",0.850,https://www.llaveinformativa.com/se-hacian-llamar-los-chatas-y-estarian-involucrados-en-un-homicidio-en-barbosa/
ai_16,2025-06-09,www.elcolombiano.com,TRIGGER_EVENT,"Capturaron a alias Yordi, presunto cabecilla de La Terraza, y a familiares de alias Douglas",0.850,https://www.elcolombiano.com/medellin/capturaron-a-alias-yordi-presunto-cabecilla-de-la-terraza-y-a-familiares-de-alias-douglas-FG27650713
ai_17,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Golpe a poderoso cabecilla de La Oficina que está negociando la paz con el Gobierno Petro: capturaron a la exesposa y al hijo de ‘Douglas’",0.850,https://www.infobae.com/colombia/2025/06/10/golpe-a-poderoso-cabecilla-de-la-oficina-que-esta-negociando-la-paz-con-el-gobierno-petro-capturaron-a-la-exesposa-y-al-hijo-de-douglas/
ai_18,2024-12-02,www.infobae.com,TRIGGER_EVENT,"Integrantes de Los Chatas a la cárcel: serían los culpables de homicidio y tráfico de estupefacientes",0.850,https://www.infobae.com/colombia/2025/06/18/integrantes-de-los-chatas-a-la-carcel-serian-los-culpables-de-homicidio-y-trafico-de-estupefacientes/
ai_19,2024-03-16,www.prensa-latina.cu,TRIGGER_EVENT,"Abatidos tres miembros del Clan de Golfo en noroeste de Colombia",0.850,https://www.prensa-latina.cu/2025/03/16/abatidos-tres-miembros-del-clan-de-golfo-en-noroeste-de-colombia/
ai_20,2016-03-02,www.lafm.com.co,TRIGGER_EVENT,"Capturan a 18 presuntos integrantes de la banda más poderosa del Valle de Aburrá",0.700,https://www.lafm.com.co/orden-publico/capturan-a-18-presuntos-integrantes-de-la-banda-mas-poderosa-del-valle-de-aburra-173294
ai_21,2024-12-02,caracol.com.co,TRIGGER_EVENT,"Medellín crime news",0.300,https://caracol.com.co/2025/07/18/se-entrego-el-hijo-de-alias-douglas-jefe-de-la-banda-criminal-la-oficina-en-medellin/
ai_22,2024-12-02,www.wradio.com.co,TRIGGER_EVENT,"Medellín crime news",0.300,https://www.wradio.com.co/2025/10/22/abatido-presunto-cabecilla-del-clan-del-golfo-autoridades-niegan-irregularidades-en-el-operativo/
ai_23,2024-12-02,caracol.com.co,TRIGGER_EVENT,"Medellín crime news",0.300,https://caracol.com.co/2025/04/05/abatido-alias-chirimoya-uno-de-los-lideres-mas-buscados-del-clan-del-golfo/
ai_24,2024-12-02,caracol.com.co,TRIGGER_EVENT,"Medellín crime news",0.300,https://caracol.com.co/2025/07/17/carcel-para-alias-matias-cabecilla-de-los-chatas-implicado-en-secuestros-y-extorsiones/
